text	labels
Its amazing i love it	Other
it's fun but I can't download it in my phone	Bug
This is the best game	Other
This is beautiful game this is so good and plz. The youtubers try this and if you try this you r great gaming!	Other
MORE weapons and maps pls. Oh and also make matches more fair so the great players go to more difficult matches while worser ones went to easy matches.	Balance
This game is full of noobs LOL im only lv 12 but im already at adamant league, try to do a fair matchmaking please	Balance
Great,awesome game	Other
This is the best pocket edition shooting game😎😎😎😎😎	Other
It's awesome, but it keeps kicking me out of the game!!!!!!!!! :(	Bug
Only have less space nah I won't download it doe's have so many adds	Bug
Very good game! This game has tons of weapons and diffrent modes of playing..	Other
IAmazing I absolutely Love it it's Amazing Good Graphics And Addictive I Absolutely Can't Stop playing it's so much Fun and a Great Time Killer	Graphics
Bring armory back!	Other
I need free guns	Other
Im a noob so yeah...  Anyways Im having a hard time it the contril buttons but its really my fault so yeah iz okie 😁	Other
No mames 152 voted in sandbox and out the porkeria .l.	Other
Is to game	Other
"I like this game but please add ""donate""feature so we can donate weapons,trophies,gears,and armor. Thank you"	Other
this is a pretty good game	Other
I need to stop spending my mother's credit card	Monetization
Cool I like this game	Other
唉唉唉呀～ (ToT)(ToT)(ToT)(ToT)(ToT)(ToT)(ToT)(ToT)	Other
Rilisoft u gotta fixed the issue when u delete it and delete back everything get back or im gonna SUE ur company	Balance
Love it!	Other
the game is so great  But can you invent  zombie mode?              plass	Other
This app has guns     See you	Other
The game is so great  But can you invent zombie mode?	Other
Cool	Other
TOJE FAKT NEJLEPŠÍ HRA NA SVĚTĚ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	Other
ITS THE BEST GAME EVER PLAYED BY ME BECAUSE I CAN PLAY WITH FRIEND AND FAMILY  sorry for caps I love it c:	Other
My left fire button isn't working well and you guys should make an easier way to change weapons like enlarging the bar. Those are the only problems I have against the game.	Bug
Its ok but i suddenly crashed and when i came back i lost 30 coins	Bug
once u reach high lvl gems are litteraly near impossible to get. Please add a way where you can buy gems with coins and vice versa also event keys with gems or coins, overall a good game but definitely a pay to win game.	Monetization
I love it but I keeps on crashing	Bug
I love it but can you make it more fun and add more mode and pls add zombie mode were zombie try to chase you in multiplayer and pls bring back big buddy	Other
Its epic	Other
This game is veery addictive, it offers an extrrmely good gamplay and multiplayer choice, this alows people to have fun while playing with freinds. Overall this game is fun	Other
I DELETE IT AND NOW ALL MY GEMS ARE GONE I HAS 446 I GOT EVERY THING WITH THIS APP BUT ALL MY GEMS ARE GONE😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😣😣😣😣😣	Bug
you guys should add a fort building mode so you build a fort depending on how much money you have you can get more by killing the apponent wich group has more blocks on their base wins😄and also good game	Other
All  need to put more mine games in it and more capny ple:(	Other
I love this game	Other
Greate	Other
THIS GAME IS AWESOME!	Other
It is cool but the control s are too hard	Other
This app is great	Other
Cc Jul	Other
Thank younger a good game	Other
Mincrafter HD	Other
